date,1. open,2. high,3. low,4. close,5. volume
2008-08-04,15.0,15.0,14.69,14.99,46136.0
2008-08-01,15.0,15.0,14.95,14.99,100119.0
2008-07-31,14.99,15.0,14.87,14.97,16781.0
2008-07-30,14.95,15.0,14.8,14.98,76710.0
2008-07-29,14.77,15.0,14.77,15.0,53399.0
2008-07-28,14.78,15.0,14.0,15.0,86153.0
2008-07-25,14.38,14.6,14.198,14.6,2366.0
2008-07-24,14.4,14.4,14.0,14.311,4616.0
2008-07-23,15.0,15.0,13.98,14.75,14010.0
2008-07-22,12.2,15.45,12.18,15.283,54735.0
2008-07-21,12.17,12.25,11.98,12.074,11228.0
2008-07-18,12.03,12.03,11.967,11.967,1900.0
2008-07-17,12.0,12.1001,12.0,12.03,1320.0
2008-07-16,12.2,12.2,12.0,12.0001,700.0
2008-07-15,12.5,12.5001,12.15,12.25,2060.0
2008-07-14,12.55,12.94,12.55,12.66,1800.0
2008-07-11,12.1,12.63,12.09,12.63,6342.0
2008-07-10,12.66,12.66,12.01,12.33,4524.0
2008-07-09,10.61,12.69,10.61,12.58,22925.0
2008-07-08,10.72,10.82,9.42,10.61,50491.0
2008-07-07,11.9,11.95,10.48,10.72,142921.0
2008-07-03,12.3,12.404,11.76,11.9,39832.0
2008-07-02,12.4,12.6,12.3,12.31,33310.0
2008-07-01,12.93,13.06,12.29,12.42,76744.0
2008-06-30,14.06,14.07,13.0,13.01,149151.0
2008-06-27,14.23,14.31,14.04,14.15,14276.0
2008-06-26,14.75,14.79,13.91,14.3,15648.0
2008-06-25,14.69,14.97,14.69,14.84,1130.0
2008-06-24,14.76,14.8,14.61,14.8,5897.0
2008-06-23,14.85,14.99,14.77,14.85,51790.0
2008-06-20,14.95,15.14,14.8,14.9,13849.0
2008-06-19,14.96,15.0,14.85,14.97,7320.0
2008-06-18,15.15,15.2,14.9201,15.03,6900.0
2008-06-17,14.6,15.12,14.6,15.06,28879.0
2008-06-16,14.55,14.705,14.3,14.6,4057.0
2008-06-13,14.29,14.46,13.91,14.46,5200.0
2008-06-12,14.15,14.4,14.15,14.31,7908.0
2008-06-11,14.26,14.31,14.0,14.19,4180.0
2008-06-10,14.33,14.68,13.75,14.39,31635.0
2008-06-09,14.52,14.69,13.45,14.69,62727.0
2008-06-06,15.9,16.01,15.2,15.2,16376.0
2008-06-05,15.98,16.071,15.61,15.93,14015.0
2008-06-04,15.41,15.99,15.15,15.7675,33125.0
2008-06-03,15.25,15.5,15.25,15.42,12355.0
2008-06-02,15.25,15.4,15.24,15.31,38000.0
2008-05-30,15.21,15.33,15.0,15.1,10070.0
2008-05-29,15.4,15.4,15.0,15.4,44151.0
2008-05-28,15.5,15.74,15.05,15.36,33386.0
2008-05-27,16.3,16.3,14.9501,15.35,74905.0
2008-05-23,15.74,17.45,15.6999,17.08,210609.0
2008-05-22,15.81,16.42,15.55,15.9775,78371.0
2008-05-21,14.67,16.08,14.5,16.066,56774.0
2008-05-20,14.55,14.83,13.61,14.75,30255.0
2008-05-19,12.5,14.75,12.5,14.6,30175.0
2008-05-16,11.95,12.62,11.71,12.56,15398.0
2008-05-15,11.72,12.0,11.06,11.97,9854.0
2008-05-14,11.37,12.0,11.02,11.97,18316.0
2008-05-13,11.0,11.57,11.0,11.12,2700.0
2008-05-12,10.74,11.088,10.7,10.95,1610.0
2008-05-09,10.9,10.9,10.6,10.9,11473.0
2008-05-08,10.64,11.13,10.64,11.12,1963.0
2008-05-07,10.75,11.0,10.75,10.8,9850.0
2008-05-06,10.66,10.66,10.5,10.6,4964.0
2008-05-05,10.54,10.9,10.5,10.55,7945.0
2008-05-02,10.5,10.63,10.5,10.6,5579.0
2008-05-01,10.55,10.55,10.5,10.52,7950.0
2008-04-30,10.64,10.84,10.5,10.67,15995.0
2008-04-29,10.5,10.65,10.45,10.5,10586.0
2008-04-28,10.5,10.7,10.5,10.6,8942.0
2008-04-25,10.51,10.94,10.5,10.5,4337.0
2008-04-24,10.42,10.65,10.42,10.52,6599.0
2008-04-23,10.99,11.0,10.52,10.62,12336.0
2008-04-22,10.63,11.0,10.41,10.99,20336.0
2008-04-21,11.03,11.84,10.6,10.75,7405.0
2008-04-18,10.79,11.0,10.44,10.6,4900.0
2008-04-17,10.26,10.41,10.21,10.4,3386.0
2008-04-16,10.2975,10.2975,10.17,10.2975,810.0
2008-04-15,9.76,10.2,9.75,10.08,22424.0
2008-04-14,9.78,10.18,9.78,10.05,2723.0
2008-04-11,9.52,10.4,9.51,9.78,4400.0
2008-04-10,9.81,10.2,9.78,9.78,4442.0
2008-04-09,10.0,10.0,9.75,10.0,28386.0
2008-04-08,9.71,10.2,9.53,10.2,20932.0
2008-04-07,10.5,10.5,9.57,9.57,38225.0
2008-04-04,9.45,11.91,9.45,11.02,35030.0
2008-04-03,9.375,9.69,9.3,9.6,2087.0
2008-04-02,9.55,9.7,8.9601,9.48,3350.0
2008-04-01,9.01,9.85,9.01,9.5001,4521.0
2008-03-31,8.62,9.0375,8.52,8.86,11595.0
2008-03-28,9.25,9.3099,8.04,8.71,79993.0
2008-03-27,9.16,9.43,8.02,9.05,107333.0
2008-03-26,10.445,10.5,8.88,9.01,68869.0
2008-03-25,10.05,10.51,10.0,10.5,26866.0
2008-03-24,9.41,10.5,9.3801,10.2,4784.0
2008-03-20,10.14,10.75,9.35,9.54,20185.0
2008-03-19,10.1,10.37,9.38,9.5,33305.0
2008-03-18,10.93,10.93,10.2,10.2,24259.0
2008-03-17,11.99,11.99,10.5201,10.5201,8492.0
2008-03-14,11.82,12.29,11.5,11.8,7527.0
2008-03-13,12.04,12.38,11.92,11.92,14583.0
2008-03-12,12.59,12.67,12.1501,12.32,4355.0
2008-03-11,11.34,12.92,11.3,12.8,21459.0
2008-03-10,10.48,11.34,10.46,11.34,13228.0
2008-03-07,10.2,10.87,10.2,10.84,10250.0
2008-03-06,10.25,10.44,10.2,10.2,2400.0
2008-03-05,10.11,10.49,10.05,10.2,5394.0
2008-03-04,10.11,10.25,10.06,10.2,3554.0
2008-03-03,10.09,10.65,10.09,10.36,12378.0
2008-02-29,9.54,10.4,9.54,10.3,12068.0
2008-02-28,9.5,9.9,9.32,9.65,6887.0
2008-02-27,9.62,9.72,9.5101,9.5101,1700.0
2008-02-26,9.5,9.66,9.5,9.56,7650.0
2008-02-25,9.55,9.55,9.3,9.48,6573.0
2008-02-22,9.72,9.7201,9.62,9.62,3152.0
2008-02-21,9.53,10.3,9.53,9.9,86405.0
2008-02-20,9.2,9.61,9.2,9.61,22905.0
2008-02-19,9.105,9.25,9.1,9.2,3090.0
2008-02-15,9.01,9.07,9.0,9.0,9932.0
2008-02-14,9.0899,9.0899,9.0,9.06,13025.0
2008-02-13,9.01,9.05,9.0,9.0101,13175.0
2008-02-12,9.05,9.17,9.0,9.1,28834.0
2008-02-11,9.05,9.17,9.0,9.04,3425.0
2008-02-08,9.12,9.29,9.0,9.01,7823.0
2008-02-07,9.0,9.5,9.0,9.4,5979.0
2008-02-06,9.0,9.43,8.67,9.0,15967.0
2008-02-05,9.26,9.5,9.03,9.11,29447.0
2008-02-04,9.5,9.712,9.5,9.5,8234.0
2008-02-01,9.93,9.94,9.5,9.51,28109.0
2008-01-31,8.49,10.3,8.49,9.55,182234.0
2008-01-30,8.75,9.15,8.3,8.5,218958.0
2008-01-29,9.5,9.99,8.57,8.75,1489121.0
